0:	7.399386049656E-06
1:	1.642911774979E-05
2:	2.591779775685E-05
3:	3.329281389597E-05
4:	3.885264231940E-05
5:	4.554348561214E-05
6:	5.286374653224E-05
7:	5.997825064696E-05
8:	6.748957821401E-05
9:	7.512977026636E-05
10:	8.257509034593E-05
11:	8.986733882921E-05
12:	9.713190956973E-05
13:	1.043522497639E-04
14:	1.115252525778E-04
15:	1.189747272292E-04
16:	1.264862949029E-04
17:	1.339833543170E-04
18:	1.414534781361E-04
19:	1.489068672527E-04
20:	1.563370751683E-04
21:	1.637424575165E-04
22:	1.711135992082E-04
23:	1.785010681488E-04
24:	1.859868352767E-04
25:	1.934694300871E-04
26:	2.009470626945E-04
27:	2.084208390443E-04
28:	2.158891293220E-04
29:	2.233497652924E-04
30:	2.308022667421E-04
31:	2.382480597589E-04
32:	2.457001246512E-04
33:	2.531962236390E-04
34:	2.606963971630E-04
35:	2.681991900317E-04
36:	2.757043985184E-04
37:	2.832120808307E-04
38:	2.907213347498E-04
39:	2.982330624945E-04
40:	3.057460708078E-04
41:	3.132617275696E-04
42:	3.207998815924E-04
43:	3.283468249720E-04
44:	3.358987160027E-04
45:	3.434558166191E-04
46:	3.510191163514E-04
47:	3.585876547731E-04
48:	3.661606751848E-04
49:	3.737398656085E-04
50:	3.813236544374E-04
51:	3.889155923389E-04
52:	3.965187352151E-04
53:	4.041310749017E-04
54:	4.117500211578E-04
55:	4.193746717647E-04
56:	4.270064528100E-04
57:	4.346436762717E-04
58:	4.422879137564E-04
59:	4.499393107835E-04
60:	4.575965576805E-04
61:	4.652627394535E-04
62:	4.729368956760E-04
63:	4.806196375284E-04
64:	4.883099463768E-04
65:	4.960069782101E-04
66:	5.037119262852E-04
67:	5.114237428643E-04
68:	5.191437085159E-04
69:	5.268704844639E-04
70:	5.346057005227E-04
71:	5.423494731076E-04
72:	5.501001724042E-04
73:	5.578597774729E-04
74:	5.656268331222E-04
75:	5.734025035053E-04
76:	5.811855080537E-04
77:	5.889767780900E-04
78:	5.967753240839E-04
79:	6.045813788660E-04
80:	6.123948260210E-04
81:	6.202172953635E-04
82:	6.280483794399E-04
83:	6.358869723044E-04
84:	6.437332485802E-04
85:	6.515873246826E-04
86:	6.594491424039E-04
87:	6.673187017441E-04
88:	6.751971668564E-04
89:	6.830830243416E-04
90:	6.909788935445E-04
91:	6.988810491748E-04
92:	7.067923434079E-04
93:	7.147131836973E-04
94:	7.226408342831E-04
95:	7.305759936571E-04
96:	7.385191274807E-04
97:	7.464708178304E-04
98:	7.544308900833E-04
99:	7.623987621628E-04
100:	7.703756564297E-04
101:	7.783620385453E-04
102:	7.863561622798E-04
103:	7.943595992401E-04
104:	8.023700211197E-04
105:	8.103895233944E-04
106:	8.184184553102E-04
107:	8.264568168670E-04
108:	8.345014648512E-04
109:	8.425552514382E-04
110:	8.506178273819E-04
111:	8.586888434365E-04
112:	8.667686488479E-04
113:	8.748568943702E-04
114:	8.829545695335E-04
115:	8.910599863157E-04
116:	8.991734939627E-04
117:	9.072963148355E-04
118:	9.154277504422E-04
119:	9.235689067282E-04
120:	9.317197254859E-04
121:	9.398787515238E-04
122:	9.480464505032E-04
123:	9.562221821398E-04
124:	9.644076926634E-04
125:	9.726014686748E-04
126:	9.808025788516E-04
127:	9.890153305605E-04
128:	9.972363477573E-04
129:	1.005466445349E-03
130:	1.013704459183E-03
